Service Unit,Bill Unit,Pay Unit,Bill Rate,Pay Rate,Payroll OTUnits,Payroll UnitsWithoutOT,Payroll OTAmount,Payroll RegAmount,Total Payroll Amount,Gender,Age,Marital Status,Race,IsCaregiverTerminated,CaregiverTenureYears,Caregiver Attributes_Can do Nights,Caregiver Attributes_Can do Days
Personal Care,Hourly,Hourly,33,22,0,8,0,176,176,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,36,21,0,4.33,0,90.93,90.93,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,32,20,0,6,0,120,120,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,69,Married,Asian Canadian,1,12,0,1
Palliative,Hourly,Hourly,36,21,0,12,0,252,272,Female,32,Separated,African Canadian,0,1,0,1
Personal Care,Hourly,Hourly,38,21,0,12,0,252,252,Female,38,Married,African Canadian,0,1,0,1
Personal Care,Hourly,Hourly,34,21.5,0,10,0,215,215,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Female,41,Married,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,36,21.5,0,9.25,0,198.88,207.04,Female,43,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,19,0,6,0,114,114,Female,43,Single,Middle Eastern Canadian,0,1,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,22.6,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32.5,21,0,12,0,252,252,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,31,19,0,12,0,228,228,Female,49,Unknown,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,38,21,0,12,0,252,252,Female,48,Married,Middle Eastern Canadian,1,1,0,1
Palliative,Hourly,Hourly,35,20,0,2,0,40,40,Male,60,Married,African Canadian,1,3,1,0
Personal Care,Hourly,Hourly,33,20,0,12,0,240,240,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,36,21.5,0,8,0,172,173.44,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Post Operative Care,Hourly,Hourly,41,22,0,12,0,264,264,Female,58,Married,Middle Eastern Canadian,1,2,0,1
Personal Care,Hourly,Hourly,32,22,0,3,0,66,66,Female,55,Married,British Canadian,1,5,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,21.5,0,7,0,150.5,150.5,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,38,21,0,12,0,252,252,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,38,21.5,0,12,0,258,258,Female,48,Married,Asian Canadian,0,1,0,0
Personal Care,Hourly,Hourly,38,22,0,4,0,88,88,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,36,24,0,9.42,0,226.08,226.08,Female,43,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Post Operative Care,Hourly,Hourly,36,20,0,8,0,160,160,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Caregiver Training,Hourly,Hourly,35,20,0,4,0,80,80,Female,32,Single,British Canadian,1,2,0,1
Training,Hourly,Hourly,35,18,0,3.5,0,63,18,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,34,21.5,0,10,0,215,215,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,36,22,0,8,0,176,176,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Live-In,Visit,Visit,448.5,292.5,0,1,0,292.5,292.5,Female,2,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,32,19,0,12,0,228,228,Male,41,Married,African Canadian,1,5,0,1
HMAP CH Visit,Visit,Visit,35,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,35,20,0,8,0,160,160,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Personal Care,Hourly,Hourly,41,18,0,13.5,0,243,243,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,33,19,0,14.5,0,275.5,275.5,Female,61,Unknown,African Canadian,1,4,0,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,52,Married,Middle Eastern Canadian,0,5,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Live-In,Visit,Visit,102,66,0,1,0,66,116,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,40,21.5,0,5,0,161.25,161.25,Female,36,Married,African Canadian,1,2,1,0
Personal Care,Hourly,Hourly,31,22,0,8,0,176,213.97,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Personal Care,Hourly,Hourly,32,20,0,7,0,140,140,Female,46,Divorce,Eastern European Canadian,0,0,0,1
